Year,Statistic Name,Name(s),Team(s),Statistic Value
1940,RBI,Hank Greenberg,Detroit,150.0
1940,Runs,Ted Williams,Boston,134.0
1940,Slugging Average,Hank Greenberg,Detroit,0.67
1940,Stolen Bases,George Case,Washington,35.0
1940,Total Bases,Hank Greenberg,Detroit,384.0
1940,Triples,Barney McCosky,Detroit,19.0
1941,Base on Balls,Ted Williams,Boston,147.0
1941,Batting Average,Ted Williams,Boston,0.406
1941,Doubles,Lou Boudreau,Cleveland,45.0
1941,Hits,Cecil Travis,Washington,218.0
1941,Home Runs,Ted Williams,Boston,37.0
1941,On Base Percentage,Ted Williams,Boston,0.551
1941,RBI,Joe DiMaggio,New York,125.0
1941,Runs,Ted Williams,Boston,135.0
1941,Slugging Average,Ted Williams,Boston,0.735
1941,Stolen Bases,George Case,Washington,33.0
1941,Total Bases,Joe DiMaggio,New York,348.0
1941,Triples,Jeff Heath,Cleveland,20.0
1951,Base on Balls,Ted Williams,Boston,144.0
1951,Batting Average,Ferris Fain,Philadelphia,0.344
1951,Doubles,George Kell,Detroit,36.0
1951,Doubles,Sam Mele,Washington,36.0
1951,Doubles,Eddie Yost,Washington,36.0
1951,Hits,George Kell,Detroit,191.0
1951,Home Runs,Gus Zernial,Chicago,33.0
1951,Home Runs,Gus Zernial,Philadelphia,33.0
1951,On Base Percentage,Ted Williams,Boston,0.464
1951,RBI,Gus Zernial,Chicago,129.0
1951,RBI,Gus Zernial,Philadelphia,129.0
1951,Runs,Dom DiMaggio,Boston,113.0
1951,Slugging Average,Ted Williams,Boston,0.556
1951,Stolen Bases,Minnie Minoso,Cleveland,31.0
1951,Stolen Bases,Minnie Minoso,Chicago,31.0
1951,Total Bases,Ted Williams,Boston,295.0
1951,Triples,Minnie Minoso,Cleveland,14.0
1951,Triples,Minnie Minoso,Chicago,14.0
1953,Base on Balls,Eddie Yost,Washington,123.0
1953,Batting Average,Mickey Vernon,Washington,0.337
1953,Doubles,Mickey Vernon,Washington,43.0
1953,Hits,Harvey Kuenn,Detroit,209.0
1953,Home Runs,Al Rosen,Cleveland,43.0
1953,On Base Percentage,Gene Woodling,New York,0.429
1953,RBI,Al Rosen,Cleveland,145.0
1953,Runs,Al Rosen,Cleveland,115.0
1953,Slugging Average,Al Rosen,Cleveland,0.613
1953,Stolen Bases,Minnie Minoso,Chicago,25.0
1953,Total Bases,Al Rosen,Cleveland,367.0
1953,Triples,Jim Rivera,Chicago,16.0
1954,Base on Balls,Ted Williams,Boston,136.0
1954,Batting Average,Bobby Avila,Cleveland,0.341
1954,Doubles,Mickey Vernon,Washington,33.0
1954,Hits,Nellie Fox,Chicago,201.0
1954,Hits,Harvey Kuenn,Detroit,201.0
1954,Home Runs,Larry Doby,Cleveland,32.0
1954,On Base Percentage,Ted Williams,Boston,0.516
1954,RBI,Larry Doby,Cleveland,126.0
1954,Runs,Mickey Mantle,New York,129.0
1954,Slugging Average,Minnie Minoso,Chicago,0.535
1954,Stolen Bases,Jackie Jensen,Boston,22.0
1954,Total Bases,Minnie Minoso,Chicago,304.0
1954,Triples,Minnie Minoso,Chicago,18.0
1955,Base on Balls,Mickey Mantle,New York,113.0
1955,Batting Average,Al Kaline,Detroit,0.34
1955,Doubles,Harvey Kuenn,Detroit,38.0
1955,Hits,Al Kaline,Detroit,200.0
1955,Home Runs,Mickey Mantle,New York,37.0
1955,On Base Percentage,Mickey Mantle,New York,0.433
1955,RBI,Ray Boone,Detroit,116.0
1955,RBI,Jackie Jensen,Boston,116.0
1955,Runs,Al Smith,Cleveland,123.0
1955,Slugging Average,Mickey Mantle,New York,0.611
1955,Stolen Bases,Jim Rivera,Chicago,25.0
1955,Total Bases,Al Kaline,Detroit,321.0
1955,Triples,Mickey Mantle,New York,11.0
1956,Base on Balls,Eddie Yost,Washington,151.0
1956,Batting Average,Mickey Mantle,New York,0.353
1956,Doubles,Jim Piersall,Boston,40.0
1956,Hits,Harvey Kuenn,Detroit,196.0
1956,Home Runs,Mickey Mantle,New York,52.0
1956,On Base Percentage,Ted Williams,Boston,0.479
1956,RBI,Mickey Mantle,New York,130.0
1956,Runs,Mickey Mantle,New York,132.0
1956,Slugging Average,Mickey Mantle,New York,0.705
1956,Stolen Bases,Luis Aparacio,Chicago,21.0
1956,Total Bases,Mickey Mantle,New York,376.0
1956,Triples,Jackie Jensen,Boston,11.0
1956,Triples,Jim Lemon,Washington,11.0
1956,Triples,Minnie Minoso,Chicago,11.0
1956,Triples,Harry Simpson,Kansas City,11.0
1957,Base on Balls,Mickey Mantle,New York,146.0
1957,Batting Average,Ted Williams,Boston,0.388
1957,Doubles,Billy Gardner,Baltimore,36.0
1957,Doubles,Minnie Minoso,Chicago,36.0
1957,Hits,Nellie Fox,Chicago,196.0
1957,Home Runs,Roy Sievers,Washington,42.0
1957,On Base Percentage,Ted Williams,Boston,0.528
1957,RBI,Roy Sievers,Washington,114.0
1957,Runs,Mickey Mantle,New York,121.0
1957,Slugging Average,Ted Williams,Boston,0.731
1957,Stolen Bases,Luis Aparicio,Chicago,28.0
1957,Total Bases,Roy Sievers,Washington,331.0
1957,Triples,Hank Bauer,New York,9.0
1957,Triples,Gil McDougald,New York,9.0
1957,Triples,Harry Simpson,Kansas City,9.0
1957,Triples,Harry Simpson,New York,9.0
1958,Base on Balls,Mickey Mantle,New York,129.0
1958,Batting Average,Ted Williams,Boston,0.328
1958,Doubles,Harvey Kuenn,Detroit,39.0
1958,Hits,Nellie Fox,Chicago,187.0
1958,Home Runs,Mickey Mantle,New York,42.0
1958,On Base Percentage,Ted Williams,Boston,0.462
1958,RBI,Jackie Jensen,Boston,122.0
1958,Runs,Mickey Mantle,New York,127.0
1958,Slugging Average,Rocky Colavito,Cleveland,0.62
1958,Stolen Bases,Luis Aparacio,Chicago,29.0
1958,Total Bases,Mickey Mantle,New York,307.0
1958,Triples,Vic Power,Kansas City,10.0
1958,Triples,Vic Power,Cleveland,10.0
1959,Base on Balls,Eddie Yost,Detroit,135.0
1959,Batting Average,Harvey Kuenn,Detroit,0.353
1959,Doubles,Harvey Kuenn,Detroit,42.0
1959,Hits,Harvey Kuenn,Detroit,198.0
1959,Home Runs,Rocky Colavito,Cleveland,42.0
1959,Home Runs,Harmon Killebrew,Washington,42.0
1959,On Base Percentage,Eddie Yost,Detroit,0.437
1959,RBI,Jackie Jensen,Boston,112.0
1959,Runs,Eddie Yost,Detroit,115.0
1959,Slugging Average,Al Kaline,Detroit,0.53
1959,Stolen Bases,Luis Aparacio,Chicago,56.0
1959,Total Bases,Rocky Colavito,Cleveland,301.0
1959,Triples,Bob Allison,Washington,9.0
1960,Base on Balls,Eddie Yost,Detroit,125.0
1960,Batting Average,Pete Runnels,Boston,0.32
1960,Doubles,Tito Francona,Cleveland,36.0
1960,Hits,Minnie Minoso,Chicago,184.0
1960,Home Runs,Mickey Mantle,New York,40.0
1960,On Base Percentage,Eddie Yost,Detroit,0.416
1960,RBI,Roger Maris,New York,112.0
1960,Runs,Mickey Mantle,New York,119.0
1960,Slugging Average,Roger Maris,New York,0.581
1960,Stolen Bases,Luis Aparacio,Chicago,51.0
1960,Total Bases,Mickey Mantle,New York,294.0
1960,Triples,Nellie Fox,Chicago,10.0
1961,Base on Balls,Mickey Mantle,New York,126.0
1961,Batting Average,Norm Cash,Detroit,0.361
1961,Doubles,Al Kaline,Detroit,41.0
1961,Hits,Norm Cash,Detroit,193.0
1961,Home Runs,Roger Maris,New York,61.0
1961,On Base Percentage,Norm Cash,Detroit,0.488
1961,RBI,Jim Gentile,Baltimore,141.0
1961,RBI,Roger Maris,New York,141.0
1961,Runs,Roger Maris,New York,132.0
1961,Slugging Average,Mickey Mantle,New York,0.687
1961,Stolen Bases,Luis Aparacio,Chicago,53.0
1961,Total Bases,Roger Maris,New York,366.0
1961,Triples,Jake Wood,Detroit,14.0
1962,Base on Balls,Mickey Mantle,New York,122.0
1962,Batting Average,Pete Runnels,Boston,0.326
1962,Doubles,Floyd Robinson,Chicago,45.0
1962,Hits,Bobby Richardson,New York,209.0
1962,Home Runs,Harmon Killebrew,Minnesota,48.0
1962,On Base Percentage,Mickey Mantle,New York,0.488
1962,RBI,Harmon Killebrew,MInnesota,126.0
1962,Runs,Albie Pearson,Los Angeles,115.0
1962,Slugging Average,Mickey Mantle,New York,0.605
1962,Stolen Bases,Luis Aparicio,Chicago,31.0
1962,Total Bases,Rocky Colavito,Detroit,309.0
1962,Triples,Gino Cimoli,Kansas City,15.0
1963,Base on Balls,Carl Yastrzemski,Boston,95.0
1963,Batting Average,Carl Yastrzemski,Boston,0.321
1963,Doubles,Carl Yastrzemski,Boston,40.0
1963,Hits,Carl Yastrzemski,Boston,183.0
1963,Home Runs,Harmon Killebrew,Minnesota,45.0
1963,On Base Percentage,Carl Yastrzemski,Boston,0.419
1963,RBI,Dick Stuart,Boston,118.0
1963,Runs,Bob Allison,Minnesota,99.0
1963,Slugging Average,Harmon Killebrew,Minnesota,0.555
1963,Stolen Bases,Luis Aparicio,Baltimore,40.0
1963,Total Bases,Dick Stuart,Boston,319.0
1963,Triples,Zoilo Versalles,Minnesota,13.0
1964,Base on Balls,Norm Siebern,Baltimore,106.0
1964,Batting Average,Tony Oliva,Minnesota,0.323
1964,Doubles,Tony Oliva,Minnesota,43.0
1964,Hits,Tony Oliva,Minnesota,217.0
1964,Home Runs,Harmon Killebrew,Minnesota,49.0
1964,On Base Percentage,Mickey Mantle,New York,0.426
1964,RBI,Brooks Robinson,Baltimore,118.0
1964,Runs,Tony Oliva,Minnesota,109.0
1964,Slugging Average,Boog Powell,Baltimore,0.606
1964,Stolen Bases,Luis Aparicio,Baltimore,57.0
1964,Total Bases,Tony Oliva,Minnesota,374.0
1964,Triples,Rich Rollins,Minnesota,10.0
1964,Triples,Zoilo Versalles,Minnesota,10.0
1965,Base on Balls,Rocky Colavito,Cleveland,93.0
1965,Batting Average,Tony Oliva,Minnesota,0.321
1965,Doubles,Zoilo Versalles,Minnesota,45.0
1965,Doubles,Carl Yastrzemski,Boston,45.0
1965,Hits,Tony Oliva,Minnesota,185.0
1965,Home Runs,Tony Conigliaro,Boston,32.0
1965,On Base Percentage,Carl Yastrzemski,Boston,0.398
1965,RBI,Rocky Colavito,Cleveland,108.0
1965,Runs,Zoilo Versalles,Minnesota,126.0
1965,Slugging Average,Carl Yastrzemski,Boston,0.536
1965,Stolen Bases,Bert Campaneris,Kansas City,51.0
1965,Total Bases,Zoilo Versalles,Minnesota,308.0
1965,Triples,Bert Campaneris,Kansas City,12.0
1965,Triples,Zoilo Versalles,Minnesota,12.0
1966,Base on Balls,Harmon Killebrew,Minnesota,103.0
1966,Batting Average,Frank Robinson,Baltimore,0.316
1966,Doubles,Carl Yastrzemski,Boston,39.0
1966,Hits,Tony Oliva,Minnesota,191.0
1966,Home Runs,Frank Robinson,Baltimore,49.0
1966,On Base Percentage,Frank Robinson,Baltimore,0.415
1966,RBI,Frank Robinson,Baltimore,122.0
1966,Runs,Frank Robinson,Baltimore,122.0
1966,Slugging Average,Frank Robinson,Baltimore,0.637
1966,Stolen Bases,Bert Campaneris,Kansas City,52.0
1966,Total Bases,Frank Robinson,Baltimore,367.0
1966,Triples,Bobby Knoop,California,11.0
1967,Base on Balls,Harmon Killebrew,Minnesota,131.0
1967,Batting Average,Carl Yastrzemski,Boston,0.326
1967,Doubles,Tony Oliva,Minnesota,34.0
1967,Hits,Carl Yastrzemski,Boston,189.0
1967,Home Runs,Harmon Killebrew,Minnesota,44.0
1967,Home Runs,Carl Yastrzemski,Boston,44.0
1967,On Base Percentage,Carl Yastrzemski,Boston,0.421
1967,RBI,Carl Yastrzemski,Boston,121.0
1967,Runs,Carl Yastrzemski,Boston,112.0
1967,Slugging Average,Carl Yastrzemski,Boston,0.622
1967,Stolen Bases,Bert Campaneris,Kansas City,55.0
1967,Total Bases,Carl Yastrzemski,Boston,360.0
1967,Triples,Paul Blair,Baltimore,12.0
1968,Base on Balls,Carl Yastrzemski,Boston,119.0
1968,Batting Average,Carl Yastrzemski,Boston,0.301
1968,Doubles,Reggie Smith,Boston,37.0
1968,Hits,Bert Campaneris,Oakland,177.0
1968,Home Runs,Frank Howard,Washington,44.0
1968,On Base Percentage,Carl Yastrzemski,Boston,0.429
1968,RBI,Ken Harrelson,Boston,109.0
1968,Runs,Dick McAuliffe,Detroit,95.0
1968,Slugging Average,Frank Howard,Washington,0.552
1968,Stolen Bases,Bert Campaneris,Oakland,62.0
1968,Total Bases,Frank Howard,Washington,330.0
1968,Triples,Jim Fregosi,California,13.0
1969,Base on Balls,Harmon Killebrew,Minnesota,145.0
1969,Batting Average,Rod Carew,Minnesota,0.332
1969,Doubles,Tony Oliva,Minnesota,39.0
1969,Hits,Tony Oliva,Minnesota,197.0
1969,Home Runs,Harmon Killebrew,Minnesota,49.0
1969,On Base Percentage,Harmon Killebrew,Minnesota,0.43
1969,RBI,Harmon Killebrew,Minnesota,140.0
1969,Runs,Reggie Jackson,Oakland,123.0
1969,Slugging Average,Reggie Jackson,Oakland,0.608
1969,Stolen Bases,Tommy Harper,Seattle,73.0
1969,Total Bases,Frank Howard,Washington,340.0
1969,Triples,Del Unser,Washington,8.0
1970,Base on Balls,Frank Howard,Washington,132.0
1970,Batting Average,Alex Johnson,California,0.329
1970,Doubles,Tony Oliva,Minnesota,36.0
1970,Doubles,Amos Otis,Kansas City,36.0
1970,Doubles,Cesar Tovar,Minnesota,36.0
1970,Hits,Tony Oliva,Minnesota,204.0
1970,Home Runs,Frank Howard,Washington,44.0
1970,On Base Percentage,Carl Yastrzemski,Boston,0.453
1970,RBI,Frank Howard,Washington,126.0
1970,Runs,Carl Yastrzemski,Boston,125.0
1970,Slugging Average,Carl Yastrzemski,Boston,0.592
1970,Stolen Bases,Bert Campaneris,Oakland,42.0
1970,Total Bases,Carl Yastrzemski,Boston,335.0
1970,Triples,Cesar Tovar,Minnesota,13.0
1971,Base on Balls,Harmon Killebrew,Minnesota,114.0
1971,Batting Average,Tony Oliva,Minnesota,0.337
1971,Doubles,Reggie Smith,Boston,33.0
1971,Hits,Cesar Tovar,Minnesota,204.0
1971,Home Runs,Bill Melton,Chicago,33.0
1971,On Base Percentage,Bobby Murcer,New York,0.429
1971,RBI,Harmon Killebrew,Minnesota,119.0
1971,Runs,Don Buford,Baltimore,99.0
1971,Slugging Average,Tony Oliva,Minnesota,0.546
1971,Stolen Bases,Amos Otis,Kansas City,52.0
1971,Total Bases,Reggie Smith,Boston,302.0
1971,Triples,Freddie Patek,Kansas City,11.0
1972,Base on Balls,Dick Allen,Chicago,99.0
1972,Base on Balls,Roy White,New York,99.0
1972,Batting Average,Rod Carew,Minnesota,0.318
1972,Doubles,Lou Piniella,Kansas City,33.0
1972,Hits,Joe Rudi,Oakland,181.0
1972,Home Runs,Dick Allen,Chicago,37.0
1972,On Base Percentage,Dick Allen,Chicago,0.422
1972,RBI,Dick Allen,Chicago,113.0
1972,Runs,Bobby Murcer,New York,102.0
1972,Slugging Average,Dick Allen,Chicago,0.603
1972,Stolen Bases,Bert Campaneris,Oakland,52.0
1972,Total Bases,Bobby Murcer,New York,314.0
1972,Triples,Joe Rudi,Oakland,9.0
1973,Base on Balls,John Mayberry,Kansas City,122.0
1973,Batting Average,Rod Carew,Minnesota,0.35
1973,Doubles,Sal Bando,Oakland,32.0
1973,Doubles,Pedro Garcia,Milwaukee,32.0
1973,Hits,Rod Carew,Minnesota,203.0
1973,Home Runs,Reggie Jackson,Oakland,32.0
1973,On Base Percentage,John Mayberry,Kansas City,0.42
1973,RBI,Reggie Jackson,Oakland,117.0
1973,Runs,Reggie Jackson,Oakland,99.0
1973,Slugging Average,Reggie Jackson,Oakland,0.531
1973,Stolen Bases,Tommy Harper,Boston,54.0
1973,Total Bases,Sal Bando,Oakland,295.0
1973,Total Bases,Dave May,Milwaukee,295.0
1973,Total Bases,George Scott,Milwaukee,295.0
1973,Triples,Al Bumbry,Baltimore,11.0
1973,Triples,Rod Carew,Minnesota,11.0
1974,Base on Balls,Gene Tenace,Oakland,110.0
1974,Batting Average,Rod Carew,Minnesota,0.364
1974,Doubles,Joe Rudi,Oakland,39.0
1974,Hits,Rod Carew,Minnesota,218.0
1974,Home Runs,Dick Allen,Chicago,32.0
1974,On Base Percentage,Rod Carew,Minnesota,0.435
1974,RBI,Jeff Burroughs,Texas,118.0
1974,Runs,Carl Yastrzemski,Boston,93.0
1974,Slugging Average,Dick Allen,Chicago,0.563
1974,Stolen Bases,Billy North,Oakland,54.0
1974,Total Bases,Joe Rudi,Oakland,287.0
1974,Triples,Mickey Rivers,California,11.0
1975,Base on Balls,John Mayberry,Kansas City,119.0
1975,Batting Average,Rod Carew,Minnesota,0.359
1975,Doubles,Fred Lynn,Boston,47.0
1975,Hits,George Brett,Kansas City,195.0
1975,Home Runs,Reggie Jackson,Oakland,36.0
1975,Home Runs,George Scott,Milwaukee,36.0
1975,On Base Percentage,Rod Carew,Minnesota,0.428
1975,RBI,George Scott,Milwaukee,109.0
1975,Runs,Fred Lynn,Boston,103.0
1975,Slugging Average,Fred Lynn,Boston,0.566
1975,Stolen Bases,Mickey Rivers,California,70.0
1975,Total Bases,George Scott,Milwaukee,318.0
1975,Triples,George Brett,Kansas City,13.0
1975,Triples,Mickey Rivers,California,13.0
1976,Base on Balls,Mike Hargrove,Texas,97.0
1976,Batting Average,George Brett,Kansas City,0.333
1976,Doubles,Amos Otis,Kansas City,40.0
1976,Hits,George Brett,Kansas City,215.0
1976,Home Runs,Graig Nettles,New York,32.0
1976,On Base Percentage,Hal McRae,Kansas City,0.412
1976,RBI,Lee May,Baltimore,109.0
1976,Runs,Roy White,New York,104.0
1976,Slugging Average,Reggie Jackson,Baltimore,0.502
1976,Stolen Bases,Billy North,Oakland,75.0
1976,Total Bases,George Brett,Kansas City,298.0
1976,Triples,George Brett,Kansas City,14.0
1977,Base on Balls,Toby Harrah,Texas,109.0
1977,Batting Average,Rod Carew,Minnesota,0.388
1977,Doubles,Hal McRae,Kansas City,54.0
1977,Hits,Rod Carew,Minnesota,239.0
1977,Home Runs,Jim Rice,Boston,39.0
1977,On Base Percentage,Rod Carew,Minnesota,0.452
1977,RBI,Larry Hisle,Minnesota,119.0
1977,Runs,Rod Carew,Minnesota,128.0
1977,Slugging Average,Jim Rice,Boston,0.593
1977,Stolen Bases,Freddie Patek,Kansas City,53.0
1977,Total Bases,Jim Rice,Boston,382.0
1977,Triples,Rod Carew,Minnesota,16.0
1978,Base on Balls,Mike Hargrove,Texas,107.0
1978,Batting Average,Rod Carew,Minnesota,0.333
1978,Doubles,George Brett,Kansas City,45.0
1978,Hits,Jim Rice,Boston,213.0
1978,Home Runs,Jim Rice,Boston,46.0
1978,On Base Percentage,Rod Carew,Minnesota,0.415
1978,RBI,Jim Rice,Boston,139.0
1978,Runs,Ron LeFlore,Detroit,126.0
1978,Slugging Average,Jim Rice,Boston,0.6
1978,Stolen Bases,Ron LeFlore,Detroit,68.0
1978,Total Bases,Jim Rice,Boston,406.0
1978,Triples,Jim Rice,Boston,15.0
1979,Base on Balls,Darrell Porter,Kansas City,121.0
1979,Batting Average,Fred Lynn,Boston,0.333
1979,Doubles,Cecil Cooper,Milwaukee,44.0
1979,Doubles,Chet Lemon,Chicago,44.0
1979,Hits,George Brett,Kansas City,212.0
1979,Home Runs,Gorman Thomas,Milwaukee,45.0
1979,On Base Percentage,Darrell Porter,Kansas City,0.429
1979,RBI,Don Baylor,California,139.0
1979,Runs,Don Baylor,California,120.0
1979,Slugging Average,Fred Lynn,Boston,0.637
1979,Stolen Bases,Willie Wilson,Kansas City,83.0
1979,Total Bases,Jim Rice,Boston,369.0
1979,Triples,George Brett,Kansas City,20.0
1980,Base on Balls,Willie Randolph,New York,119.0
1980,Batting Average,George Brett,Kansas City,0.39
1980,Doubles,Robin Yount,Milwaukee,49.0
1980,Hits,Willie Wilson,Kansas City,230.0
1980,Home Runs,Ben Oglivie,Milwaukee,41.0
1980,Home Runs,Reggie Jackson,New York,41.0
1980,On Base Percentage,George Brett,Kansas City,0.461
1980,RBI,Cecil Cooper,Milwaukee,122.0
1980,Runs,Willie Wilson,Kansas City,133.0
1980,Slugging Average,George Brett,Kansas City,0.664
1980,Stolen Bases,Rickey Henderson,Oakland,100.0
1980,Total Bases,Cecil Cooper,Milwaukee,335.0
1980,Triples,Alfredo Griffin,Toronto,15.0
1980,Triples,Willie Wilson,Kansas City,15.0
1981,Base on Balls,Dwight Evans,Boston,85.0
1981,Batting Average,Carney Lansford,Boston,0.336
1981,Doubles,Cecil Cooper,Milwaukee,35.0
1981,Hits,Rickey Henderson,Oakland,135.0
1981,Home Runs,Tony Armas,Oakland,22.0
1981,Home Runs,Dwight Evans,Boston,22.0
1981,Home Runs,Bobby Grich,California,22.0
1981,Home Runs,Eddie Murray,Baltimore,22.0
1981,On Base Percentage,Mike Hargrove,Cleveland,0.432
1981,RBI,Eddie Murray,Baltimore,78.0
1981,Runs,Rickey Henderson,Oakland,89.0
1981,Slugging Average,Bobby Grich,California,0.543
1981,Stolen Bases,Rickey Henderson,Oakland,56.0
1981,Total Bases,Dwight Evans,Boston,215.0
1981,Triples,John Castino,Minnesota,9.0
1982,Base on Balls,Rickey Henderson,Oakland,116.0
1982,Batting Average,Willie Wilson,Kansas City,0.332
1982,Doubles,Hal McRae,Kansas City,46.0
1982,Doubles,Robin Yount,Milwaukee,46.0
1982,Hits,Robin Yount,Milwaukee,210.0
1982,Home Runs,Reggie Jackson,California,39.0
1982,Home Runs,Gorman Thomas,Milwaukee,39.0
1982,On Base Percentage,Dwight Evans,Boston,0.403
1982,RBI,Hal McRae,Kansas City,133.0
1982,Runs,Paul Molitor,Milwaukee,136.0
1982,Slugging Average,Robin Yount,Milwaukee,0.578
1982,Stolen Bases,Rickey Henderson,Oakland,130.0
1982,Total Bases,Robin Yount,Milwaukee,367.0
1982,Triples,Willie Wilson,Kansas City,15.0
1983,Base on Balls,Rickey Henderson,Oakland,103.0
1983,Batting Average,Wade Boggs,Boston,0.361
1983,Doubles,"Cal Ripken, Jr.",Baltimore,47.0
1983,Hits,"Cal Ripken, Jr.",Baltimore,211.0
1983,Home Runs,Jim Rice,Boston,39.0
1983,On Base Percentage,Wade Boggs,Boston,0.449
1983,RBI,Cecil Cooper,Milwaukee,126.0
1983,RBI,Jim Rice,Boston,126.0
1983,Runs,"Cal Ripken, Jr.",Baltimore,121.0
1983,Slugging Average,George Brett,Kansas City,0.563
1983,Stolen Bases,Rickey Henderson,Oakland,108.0
1983,Total Bases,Jim Rice,Boston,344.0
1983,Triples,Robin Yount,Milwaukee,10.0
1984,Base on Balls,Eddie Murray,Baltimore,107.0
1984,Batting Average,Don Mattingly,New York,0.343
1984,Doubles,Don Mattingly,New York,44.0
1984,Hits,Don Mattingly,New York,207.0
1984,Home Runs,Tony Armas,Boston,43.0
1984,On Base Percentage,Eddie Murray,Baltimore,0.415
1984,RBI,Tony Armas,Boston,123.0
1984,Runs,Dwight Evans,Boston,121.0
1984,Slugging Average,Harold Baines,Chicago,0.541
1984,Stolen Bases,Rickey Henderson,Oakland,66.0
1984,Total Bases,Tony Armas,Boston,339.0
1984,Triples,Dave Collins,Toronto,15.0
1984,Triples,Lloyd Moseby,Toronto,15.0
1985,Base on Balls,Dwight Evans,Boston,114.0
1985,Batting Average,Wade Boggs,Boston,0.368
1985,Doubles,Don Mattingly,New York,48.0
1985,Hits,Wade Boggs,Boston,240.0
1985,Home Runs,Darrell Evans,Detroit,40.0
1985,On Base Percentage,Wade Boggs,Boston,0.452
1985,RBI,Don Mattingly,New York,145.0
1985,Runs,Rickey Henderson,New York,146.0
1985,Slugging Average,George Brett,Kansas City,0.585
1985,Stolen Bases,Rickey Henderson,New York,80.0
1985,Total Bases,Don Mattingly,New York,370.0
1985,Triples,Willie Wilson,Kansas City,21.0
1986,Base on Balls,Wade Boggs,Boston,106.0
1986,Batting Average,Wade Boggs,Boston,0.357
1986,Doubles,Don Mattingly,New York,53.0
1986,Hits,Don Mattingly,New York,238.0
1986,Home Runs,Jesse Barfield,Toronto,40.0
1986,On Base Percentage,Wade Boggs,Boston,0.455
1986,RBI,Joe Carter,Cleveland,121.0
1986,Runs,Rickey Henderson,New York,130.0
1986,Slugging Average,Don Mattingly,New York,0.573
1986,Stolen Bases,Rickey Henderson,New York,87.0
1986,Total Bases,Don Mattingly,New York,388.0
1986,Triples,Brett Butler,Cleveland,14.0
1987,Base on Balls,Dwight Evans,Boston,106.0
1987,Batting Average,Wade Boggs,Boston,0.363
1987,Doubles,Paul Molitor,Milwaukee,41.0
1987,Hits,Kirby Puckett,Minnesota,207.0
1987,Hits,Kevin Seitzer,Kansas City,207.0
1987,Home Runs,Mark McGwire,Oakland,49.0
1987,On Base Percentage,Wade Boggs,Boston,0.467
1987,RBI,George Bell,Toronto,134.0
1987,Runs,Paul Molitor,Milwaukee,114.0
1987,Slugging Average,Mark McGwire,Oakland,0.618
1987,Stolen Bases,Harold Reynolds,Seattle,67.0
1987,Total Bases,George Bell,Toronto,369.0
1987,Triples,Willie Wilson,Kansas City,15.0
1988,Base on Balls,Wade Boggs,Boston,125.0
1988,Batting Average,Wade Boggs,Boston,0.366
1988,Doubles,Wade Boggs,Boston,45.0
1988,Hits,Kirby Puckett,Minnesota,234.0
1988,Home Runs,Jose Canseco,Oakland,42.0
1988,On Base Percentage,Wade Boggs,Boston,0.48
1988,RBI,Jose Canseco,Oakland,124.0
1988,Runs,Wade Boggs,Boston,128.0
1988,Slugging Average,Jose Canseco,Oakland,0.569
1988,Stolen Bases,Rickey Henderson,New York,93.0
